n,gap,trials,acceptance_pct,acc_ci_lower,acc_ci_upper,correctness_pct,median_accumulated_weight,acceptance_threshold,median_threshold_margin,aSq,bSq
13,0.05,100,64.0,54.2,72.7,64.0,0.490467,0.483750,0.006717,0.4950,0.5450
13,0.1,100,96.0,90.2,98.4,96.0,0.489534,0.458750,0.030784,0.4700,0.5700
13,0.2,100,100.0,96.3,100.0,100.0,0.492336,0.408750,0.083586,0.4200,0.6200
13,0.3,100,100.0,96.3,100.0,100.0,0.490934,0.358750,0.132184,0.3700,0.6700
13,0.4,100,100.0,96.3,100.0,100.0,0.488601,0.308750,0.179851,0.3200,0.7200
14,0.0,100,11.0,6.3,18.6,11.0,0.491868,0.508750,-0.016882,0.5200,0.5200
14,0.05,100,54.0,44.3,63.4,54.0,0.484416,0.483750,0.000666,0.4950,0.5450
14,0.1,100,97.0,91.5,99.0,97.0,0.488135,0.458750,0.029385,0.4700,0.5700
14,0.2,100,100.0,96.3,100.0,100.0,0.488601,0.408750,0.079851,0.4200,0.6200
14,0.3,100,100.0,96.3,100.0,100.0,0.489534,0.358750,0.130784,0.3700,0.6700
14,0.4,100,100.0,96.3,100.0,100.0,0.489534,0.308750,0.180784,0.3200,0.7200
15,0.0,100,13.0,7.8,21.0,13.0,0.488135,0.508750,-0.020615,0.5200,0.5200
15,0.05,100,65.0,55.3,73.6,65.0,0.490467,0.483750,0.006717,0.4950,0.5450
15,0.1,100,95.0,88.8,97.8,95.0,0.490934,0.458750,0.032184,0.4700,0.5700
15,0.2,100,100.0,96.3,100.0,100.0,0.488135,0.408750,0.079385,0.4200,0.6200
15,0.3,100,100.0,96.3,100.0,100.0,0.486739,0.358750,0.127989,0.3700,0.6700
15,0.4,100,100.0,96.3,100.0,100.0,0.492804,0.308750,0.184054,0.3200,0.7200
16,0.0,100,19.0,12.5,27.8,19.0,0.494678,0.508750,-0.014072,0.5200,0.5200
16,0.05,100,68.0,58.3,76.3,68.0,0.492804,0.483750,0.009054,0.4950,0.5450
16,0.1,100,98.0,93.0,99.4,98.0,0.493272,0.458750,0.034522,0.4700,0.5700
16,0.2,100,100.0,96.3,100.0,100.0,0.493740,0.408750,0.084990,0.4200,0.6200
16,0.3,100,100.0,96.3,100.0,100.0,0.489067,0.358750,0.130317,0.3700,0.6700
16,0.4,100,100.0,96.3,100.0,100.0,0.489534,0.308750,0.180784,0.3200,0.7200
